timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,gt_velocity_savgol,lstm_filtered_velocity,traditional_filtered_velocity
34819,551,554,-0.1985,-58022,-0.4845647820540407,0.19661000000000006,0.20866486486486494
34822,551,555,-0.1938,-58030,-0.4868033445668901,0.19618000000000008,0.209545945945946
34824,551,556,-0.1891,-58036,-0.4885913082346983,0.19571000000000008,0.21042702702702706
34827,551,555,-0.1938,-58044,-0.48862664240000575,0.19477000000000005,0.21130810810810816
34829,552,554,-0.1941,-58050,-0.4879549795262878,0.19342000000000006,0.21230540540540546
34832,551,554,-0.1985,-58058,-0.4853475455829373,0.19388000000000005,0.21341891891891898
34834,551,555,-0.1938,-58064,-0.48531946649041785,0.19853000000000004,0.2144108108108109
34837,551,556,-0.1891,-58072,-0.48236492633492983,0.20708000000000007,0.21538918918918926
34839,552,556,-0.185,-58078,-0.48001604749909527,0.21711000000000005,0.2163675675675676
34841,551,553,-0.2031,-58086,-0.4784559715500454,0.22566000000000005,0.21734594594594597
34844,547,548,-0.245,-58092,-0.4757293191133158,0.23413000000000003,0.21832432432432436
34846,543,545,-0.2793,-58099,-0.4744141508916188,0.24269000000000002,0.2191837837837838
34849,542,544,-0.2894,-58106,-0.4726466582940552,0.25124,0.22003783783783787
34851,543,545,-0.2793,-58112,-0.47200358432878237,0.25973000000000007,0.2206540540540541
34854,542,546,-0.2788,-58119,-0.46948391715786025,0.26616000000000006,0.22115135135135136
34856,542,545,-0.2841,-58126,-0.470013380604936,0.27027000000000007,0.22164864864864864
34860,543,545,-0.2793,-58132,-0.46834255695019467,0.26974000000000004,0.22213513513513514
34862,543,546,-0.274,-58140,-0.46822333845681563,0.26533000000000007,0.22249189189189192
34865,545,549,-0.2493,-58146,-0.4677186599070476,0.26036000000000004,0.22273513513513515
34867,545,550,-0.2442,-58153,-0.4682953793687687,0.25590000000000007,0.22285945945945948
34870,546,550,-0.2397,-58160,-0.4668059717503337,0.2520300000000001,0.2229837837837838
34872,547,550,-0.2352,-58166,-0.46799301930825804,0.24763000000000007,0.22310810810810816
